q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
Somewhat agree,Somewhat agree,Strongly Disagree,Disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Disagree,Strongly Disagree,Somewhat agree,Strongly Agree,Somewhat agree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Agree
Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat disagree
Strongly Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat agree
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree
Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Agree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree
Somewhat disagree,Strongly Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Disagree,Strongly Agree
Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Disagree,Strongly Disagree,Somewhat agree
Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree
Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
Strongly Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Agree
Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Somewhat disagree
Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Strongly Disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat agree,,Strongly Disagree,Somewhat disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat agree
Disagree,Disagree,Somewhat agree,Strongly Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Strongly Disagree,Somewhat agree
Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Strongly Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly Disagree,Agree
Disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat disagree,Agree,Strongly Disagree,Agree
Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Agree,Agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat disagree,Agree
Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Somewhat agree,Agree
Disagree,Disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree
Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Agree,Disagree,Agree
